Test #,Water diaphram,Air flow rate (Nm3/h),Rotameter air pressure (bar),Water diaphragm press. drop (mbar),Relative pressure in the test section (bar),Type of differential pressure (pC-pD) or (pD-pC),Pressure drop in the pipe (mbar),Water temperature (C),Water mass in the pipe (g),Flow pattern,Water density (kg/m3),Water mass flow rate (kg/s),Air density (kg/m3),Air mass flow rate (kg/h),quality,Measured void fraction,Void fraction - Homogenous model,Void fraction - Zivi correlation,Void fraction - CISE correlation
30,S,15.26000,4.20000,243.33000,0.29000,pD-pC,72.83000,18.27000,112,Slug,998.54831,0.26554,1.36402,20.81496,0.02131,0.77515,0.94097,0.63881,0.93875
31,S,2.80000,5.20000,244.77000,0.28000,pD-pC,79.91000,17.88000,236,Slug,998.62074,0.26629,1.35882,3.80469,0.00395,0.65286,0.74468,0.24426,0.73797
32,M,0.29000,6.00000,85.37000,0.32000,pD-pC,24.77000,16.81000,578,Bubbly,998.81079,0.55663,1.37952,0.40006,0.00020,0.31558,0.12629,0.01584,0.12491
33,M,0.71000,5.90000,85.41000,0.31000,pD-pC,36.83000,16.81000,503,Slug,998.81079,0.55676,1.37437,0.97580,0.00049,0.38955,0.26134,0.03786,0.25787
34,M,2.90000,5.20000,85.32000,0.31000,pD-pC,52.12000,16.81000,323,Slug,998.81079,0.55647,1.37437,3.98567,0.00199,0.56706,0.59115,0.13854,0.58458
35,M,8.36000,5.40000,84.45000,0.33000,pD-pC,27.86000,17.01000,221,Slug,998.77624,0.55364,1.38464,11.57561,0.00577,0.66765,0.80730,0.31840,0.80232
37,M,0.28000,6.00000,215.00000,0.34000,pD-pC,12.01000,17.69000,643,Bubbly,998.65542,0.88108,1.38975,0.38913,0.00012,0.25148,0.08101,0.00975,0.08034
38,M,2.89000,5.20000,213.30000,0.34000,pD-pC,17.41000,17.01000,387,Slug/churn,998.77624,0.87766,1.38975,4.01638,0.00127,0.50394,0.47741,0.09255,0.47192
39,M,8.30000,5.40000,209.10000,0.78000,pC-pD,22.68000,17.88000,283,Churn/annular,998.62074,0.86895,1.59840,13.26675,0.00422,0.60651,0.72600,0.23661,0.72037
40,M,15.09000,4.30000,204.36000,0.44000,pC-pD,57.76000,18.08000,206,Slug/churn,998.58381,0.85907,1.43983,21.72702,0.00698,0.68245,0.82971,0.35503,0.82554
